 కర్ణాటకలో రోడ్డు విస్తరణలో భాగంగా ఒక మసీదును కుల్చివేస్తుండగా అందులో నుండి శివాలయం బయటపడింది.,https://factly.in/telugu-hindu-temple-did-not-emerge-from-the-mosque-which-was-demolished-as-part-of-the-karnataka-road-widening/
 పంజాబ్ ముఖ్యమంత్రి చరణ్‌జిత్‌ సింగ్ చన్నీ ఫిర్యాదు అందుకున్న వెంటనే స్వయంగా ఎలక్ట్రిక్ స్తంభంపైకి ఎక్కి విద్యుత్ సరఫరా పునరుద్దరించినప్పటి ఫోటో.,https://factly.in/telugu-this-photo-of-charanjit-singh-channi-on-top-of-a-electric-pole-is-from-2016-before-he-became-the-chief-minister-of-punjab/
 రోడ్లపైన నమాజ్ చేస్తున్నందుకు ఉత్తరప్రదేశ్ మరియు మధ్యప్రదేశ్ పోలీసులు ముస్లింలను కొడుతున్న వీడియోలు.,https://factly.in/telugu-police-lathicharged-public-in-these-videos-to-control-the-riots-not-for-praying-on-the-road/
 కొడుకు ఆర్యన్ ఖాన్‌కి బెయిల్ రాలేదని షారుఖ్ ఖాన్ ఆవేదన చెందుతున్న దృశ్యం.,https://factly.in/telugu-morphed-photo-shared-as-shah-rukh-khan-distressed-over-denied-bail-to-his-son-aryan-khan/
 బుర్జ్ ఖలీఫాపై బతుకమ్మ చిత్రాలతో పాటు నిజామాబాద్ ఎమ్మెల్సీ కవిత ఫోటోని ప్రదర్శించిన దృశ్యం.,https://factly.in/telugu-morphed-photo-shared-as-photo-of-mlc-kavitha-was-displayed-on-burj-khalifa/
 FATF (ఫైనాన్షియల్ యాక్షన్ టాస్క్ ఫోర్స్) పాకిస్థాన్‌ని బ్లాక్ లిస్ట్‌లో పెట్టింది.,https://factly.in/telugu-fatf-has-not-blacklisted-pakistan-it-is-still-on-the-greylist/
 ‘‘హుజూరాబాద్‌లో బీజేపీ గెలవగానే అక్కడి ముస్లింలను మా చెప్పుల కింద తొక్కిపెడతాం’’ అని అన్న బీజేపీ ఎంపీ ధర్మపురి అర్వింద్.,https://factly.in/telugu-bjp-mp-dharampuri-arvind-did-not-say-these-communally-sensitive-remarks-during-huzurabad-bypoll-campaign/
 ‘మోదీ లాంటి వారు వేల సంవత్సరాలలో ఒక్కరు పుడుతుంటారు^ మోదీ యుగంలో పుట్టినందుకు నేను అదృష్టవంతుడిని’ –  కెన్నడీ రిచర్డ్స్^ టైమ్ మ్యాగజైన్‌.,https://factly.in/telugu-no-evidence-that-either-journalists-or-news-organizations-have-made-such-remarks-praising-pm-modi/
 డప్పు కొట్టి ఈటలను గెలిపించమని కోరిన హరీష్ రావు ఫోటో.,https://factly.in/telugu-morphed-photo-shared-as-harish-rao-playing-drum-with-vote-for-lotus-symbol/
 ఐక్యరాజ్య సమితి లంబాడాలను ప్రపంచంలోనే అత్యంత మేధావులుగా^ శక్తివంతులుగా గుర్తించింది.,https://factly.in/telugu-united-nations-has-made-no-statement-recognizing-lambadis-as-the-most-intelligent-in-the-world/
 బెంగాల్‌లో నమాజ్ సమయాలలో హిందూ దేవాలయాలు మైకులు పెట్టరాదని పశ్చిమ బెంగాల్ ముఖ్యమంత్రి మమతా బెనర్జీ ఉత్తర్వులు జారీ చేసింది.,https://factly.in/telugu-mamata-banerjee-did-not-issue-orders-that-hindu-temples-should-not-use-mics-during-namaz-prayers-in-bengal/
 అమెరికా ప్రభుత్వం మొట్టమొదటిసారి దీపావళి పండగ రోజుని ప్రభుత్వ సెలవుగా ప్రకటించింది.,https://factly.in/telugu-the-us-government-has-not-declared-diwali-a-public-holiday/
 10వ తరగతి తెలుగు పుస్తకాలలో జనసేన పార్టీ అధ్యక్షుడు పవన్ కళ్యాణ్ గురించి పాఠం ప్రవేశపెట్టారు.,https://factly.in/telugu-this-article-about-pawan-kalyan-is-not-from-the-10th-class-telugu-textbook/
 పశ్చిమ బెంగాల్‌లో దుర్గా మాత మండపాలపై ముస్లింలు దాడి చేసిన వీడియో.,https://factly.in/telugu-video-of-an-attack-on-a-hindu-temple-in-bangladesh-is-shared-as-an-attack-on-durga-pandal-in-west-bengal/
 కోల్‌కతా కాళీ మాత గుడిలో పూజలు నిలిపివేసి వెంటనే దేవాలయాన్ని మూసివేయాలని అక్కడి ముస్లింలు గొడవ చేస్తున్న దృశ్యాలు.,https://factly.in/telugu-video-of-bangladesh-clashes-shared-nuisance-by-muslims-in-front-of-kali-mata-temple-in-kolkata/
 గోమూత్రం ఉపయోగించడం ద్వారా తన క్యాన్సర్ పూర్తిగా తగ్గిందని కాంగ్రెస్ ఎంపీ రాజ్యసభలో మాట్లాడిన దృశ్యాలు.,https://factly.in/telugu-these-remarks-by-congress-mp-that-cow-urine-cured-cancer-were-made-about-a-driver-working-in-an-ashram/
 రాజ్‌బాగ్‌లోని DPS స్కూల్ టీచర్ షకీల్ అహ్మద్ అన్సారీ చిన్న పిల్లల్ని కొడుతున్న వీడియో.,https://factly.in/telugu-2014-video-from-egypt-shared-as-child-being-beaten-up-at-dps-school-in-rajbagh/
 తిరుమలలో పాపవినాశనం వెళ్ళే దారిలో కనిపించిన 32 అడుగుల కొండచిలువను క్రేన్ సహాయంతో తరలిస్తున్న వీడియో.,https://factly.in/telugu-this-huge-snake-being-moved-with-the-help-of-jcb-was-not-found-in-tirupati/
 హుజూరాబాద్ ఉపఎన్నిక నేపథ్యంలో తనిఖీలు చేస్తున్న పోలీసులకు ఈటల రాజేందర్ అనుచరుని వద్ద 12 కోట్ల రూపాయలు లభ్యమయ్యాయి.,https://factly.in/telugu-this-news-about-police-seizing-12-crore-rupees-from-etela-rajenders-follower-ahead-of-huzurabad-bypoll-is-false/
 బంగ్లాదేశ్ రంగ్‌పూర్ జిల్లాలోని పిర్గంజ్‌లో ఒక హిందూ గ్రామానికి ముస్లిం మూకలు నిప్పు పెట్టిన వీడియో.,https://factly.in/telugu-a-video-of-the-incident-in-tripura-is-being-shared-in-connection-with-the-attacks-on-hindus-in-bangladesh/
 కోవిడ్-19 వాక్సినేషన్ ఫీడ్‌బాక్ పేరుతో 912250041117 నుండి వస్తున్న ఫోన్ కాల్స్ ప్రజల ఫోన్లని హ్యాక్ చేస్తున్నాయి.,https://factly.in/telugu-calls-from-912250041117-in-the-name-of-covid-19-vaccination-poll-are-fraudulent/
 పశ్చిమ బెంగాల్‌లోని దుర్గా పూజా పందిరిలో నమాజ్ సమయ సూచిక అతికించిన దృశ్యం.,https://factly.in/telugu-scenes-from-bangladesh-temple-shared-as-namaz-timetable-pasted-in-the-durga-pandal-in-west-bengal/
 బంగ్లాదేశ్‌లో హిందూ దేవాలయాలను ధ్వంసం చేస్తున్న వీడియో.,https://factly.in/telugu-video-from-pakistan-shared-as-destruction-of-a-hindu-temple-in-bangladesh/
 చిత్తూరు జిల్లా పుంగనూరు సదం ప్రాజెక్టు నీటిలో 200 కేజీల భారీ చేప సంచరిస్తున్న దృశ్యాలు.,https://factly.in/telugu-unrelated-old-video-shared-as-200-kg-fish-floating-in-the-waters-of-the-punganur-project/
 బెంగాల్‌లో దుర్గామాత మండపాలను విధ్వంసం చేస్తున్న వీడియో.,https://factly.in/telugu-video-of-demolition-of-hindu-temples-and-durga-mandap-in-bangladesh-is-shared-as-that-from-west-bengal/
 గ్యాస్^ పెట్రోల్^ డీజిల్ పన్నుల డబ్బులతోనే సంక్షేమ పథకాలని అమలు చేస్తున్నట్టు తెలంగాణ మంత్రి గంగుల కమలాకర్ మీడియాకు తెలిపారు.,https://factly.in/telugu-these-images-regarding-the-share-of-state-and-centre-on-gas-cylinder-prices-are-morphed/
 2014 నుంచి ఇప్పటి వరకు దేశం మొత్తంలో మంజూరైన ఇళ్ళలో 20% ఒక్క APకే ఇచ్చారు. కాని అందులో పూర్తై గృహప్రవేశం చేసిన ఇళ్ళు గత 7 ఏళ్ళలో 1% కూడా లేవు.,https://factly.in/telugu-20-of-the-total-sanctioned-houses-across-the-country-were-not-allotted-to-andhra-pradesh/
 లఖీంపూర్ ఖేరిలో ఇటీవల జరిగిన హింసాత్మక ఘటనలో పాల్గొన్న 58 మంది ఖలిస్తాన్ టెర్రరిస్టులని యోగి ఆదిత్యనాథ్ ప్రభుత్వం గుర్తించి వారి ఆస్తులని జప్తు చేసింది.,https://factly.in/telugu-news-that-yogi-adityanath-govt-confiscating-assets-of-khalistan-supporters-in-lakhimpur-kheri-incident-is-false/
 ఈ నెల 25 నుండి ప్రారంభమయ్యే ఇంటర్ మొదటి సంవత్సరం పరీక్షలని వాయిదా వెయ్యాలని ఆరోగ్య మంత్రి ఈటెల రాజేందర్ ప్రభుత్వాన్ని హెచ్చరించారు.,https://factly.in/telugu-edited-article-shared-as-telangana-government-postponing-intermediate-first-year-exams/
 కమలాపూర్‌లో జరిగిన కార్ ఆక్సిడెంట్‌లో బీజేపీ నేతకు చెందిన కారులో ఈటల రాజేందర్‌ యొక్క జమున హేచరీలకు చెందిన 122 కోట్లు దొరికాయి.,https://factly.in/telugu-news-that-rs-122-crore-was-found-in-the-car-of-a-bjp-leader-in-kamalapur-is-false/
 ఉత్తరప్రదేశ్‌లో అసెంబ్లీ ఎన్నికల ప్రచార కార్యక్రమంలో హిందు వేషధారణలో ఉన్న ప్రియాంక గాంధీ^ కేరళలో క్రిస్టియన్ వేషధారణ వేసింది.,https://factly.in/telugu-photo-shared-as-that-of-priyanka-gandhi-with-christian-attire-in-kerala-is-morphed/
 రాజస్థాన్‌లో 25 కాలేజీల్లో జరిగిన విద్యార్థి సంఘ ఎన్నికల్లో 21 కాలేజీల్లో విజయం సాధించిన ఎస్ఎఫ్ఐ.,https://factly.in/telugu-2017-report-of-sfis-victory-in-the-rajasthan-student-union-elections-is-shared-as-recent/
 నెల్లూరు జిల్లాలో జైన సంఘాలకు భయపడి ముస్లిం యువకుడితో పారిపోయిన జైన అమ్మాయిని ముస్లిం మత పెద్దలు ఆమె కుటుంబానికి అప్పగించారు.,https://factly.in/telugu-this-story-of-muslim-leaders-returning-a-jain-girl-eloped-with-a-muslim-boy-fearing-unemployment-is-fictional/
 1956 నుండి 2019 వరకు ఆంధ్రప్రదేశ్ రాష్ట్రం చేసిన మొత్తం అప్పులు 3.14 లక్షల కోట్లైతే^ జగన్ ఈ 28 నెలల్లో చేసిన అప్పు మొత్తం 2.92 లక్షల కోట్లు.,https://factly.in/telugu-although-andhra-pradesh-state-debt-exceeds-frbm-limits-these-details-regarding-the-debt-are-not-correct/
 కాంగ్రెస్ పార్టీ డబ్బులు ఇస్తాననటంతోనే లఖీంపూర్‌లో జీపును రైతుల పైకి ఎక్కించానని ఒప్పుకున్న వ్యక్తి.,https://factly.in/telugu-this-person-in-this-video-did-not-admit-that-congress-offered-him-money-for-running-his-car-over-farmers-in-lakhimpur-kheri/
 భారత భూభాగంలోకి చొరబడిన చైనా సైనికులను ఇటీవల భారత ఆర్మీ నిలువరిస్తున్న దృశ్యాలు.,https://factly.in/telugu-old-visuals-are-shared-as-indian-soldiers-restraining-chinese-soldiers-recently/
 కావేరి నది పిత్రు అమావాస్య నుండి దీపావళి అమావాస్య మధ్య నెల రోజులు మాత్రమే ప్రవహిస్తుంది.,https://factly.in/telugu-visuals-of-tamil-nadu-farmers-welcoming-the-cauvery-river-is-shared-as-miraculous-river-that-flows-only-for-a-month/
 ఉత్తరప్రదేశ్ అసెంబ్లీ ఎన్నికల నేపథ్యంలో ప్రియాంక గాంధీ ఇటీవల ఒక హిందూ దేవాలయాన్ని సందర్శించిన దృశ్యాలు.,https://factly.in/telugu-old-video-shared-as-priyanka-gandhi-visiting-hindu-temples-ahead-of-uttar-pradesh-assembly-elections/
 ఇటీవల రాజస్తాన్‌లోని జైపూర్‌లో పోలీసులపై కొందరు వ్యక్తులు రాళ్లు రువ్విన వీడియో.,https://factly.in/telugu-old-video-from-jammu-kashmir-is-shared-as-visuals-of-a-mob-pelting-stones-on-police-in-rajasthan/
 పాకిస్థాన్^ చైనాతో యుద్దమంటూ వస్తే తాను భారత దేశానికి కాకుండా శత్రు దేశాలకి మద్దతు పలుకుతానని ప్రకాష్ రాజ్ ఇటీవల చెన్నైలోని ఒక చర్చిలో పేర్కొన్నారు.,https://factly.in/telugu-prakash-raj-did-not-say-that-he-would-support-pakistan-and-china-in-case-of-war-with-india/
 న్యూయార్క్‌లో మోదీ వ్యతిరేక ర్యాలీ నిర్వహించడానికి అనుమతించాలని ఇండియన్ ఓవర్సీస్ కాంగ్రెస్ నాయకుడు సామ్ పిట్రోడా ఇటీవల న్యూయార్క్ పోలీసులను అభ్యర్ధించారు.,https://factly.in/telugu-sam-pitroda-did-not-make-a-request-to-nyc-police-for-anti-modi-rally/
 బతుకమ్మ పాటల రూపంలో  కేంద్రంలోని బీజేపీ ప్రభుత్వానికి^ తెలంగాణా లోని తెరాస ప్రభుత్వానికి వ్యతిరేకంగా మహిళలు పాటలు పాడుతూ^ కోలాటం ఆడుతున్న వీడియోలు.,https://factly.in/telugu-old-video-of-women-playing-dhandiya-is-edited-and-shared-as-bathukamma-song-against-various-political-parties/
 లఖింపూర్ ఖేరి ఘటన సమయంలో బీజేపి కేంద్ర మంత్రి అజయ్ మిశ్రా కొడుకు ఆశిష్ మిశ్రా చిత్రాలు.,https://factly.in/telugu-bjp-activist-photos-shared-as-those-of-union-minister-ajay-mishras-son-ashish-mishra-at-lakhimpur-kheri-violence/
 పంజాబ్‌లో డ్రగ్స్‌కు వ్యతిరేకంగా ర్యాలీ చేస్తున్న కాంగ్రెస్ పార్టీ వారిని అసలు డ్రగ్స్‌ స్మగ్లింగ్‌కు కారణం మీరే అని అక్కడి ప్రజలు వాళ్ళను కొడుతున్న ఫోటో.,https://factly.in/telugu-the-incident-of-attack-during-a-bike-rally-by-congress-party-against-drugs-took-place-in-2016/
 వ్యవసాయ చట్టాలకు వ్యతిరేకంగా నిరసనలు చేస్తున్న రైతులు^ పోలీస్ వాహనంపై రాళ్లతో దాడి చేసి తరుముతున్న వీడియో.,https://factly.in/telugu-people-attacking-the-police-vehicles-with-stones-in-this-video-are-not-the-protesting-farmers/
 “షారుఖ్ ఖాన్ కుమారుడు లోకం తెలియని పిల్లవాడు. ఒకవేళ నేరం రుజువైనా అతనిని నేరస్తునిగా చూడకూడదు” అని శశి థరూర్ అన్నాడు.,https://factly.in/telugu-shashi-tharoor-did-not-make-these-comments-about-shah-rukh-khans-son-aryan-khan/
 ఢిల్లీలోని ఎర్రకోటను రాజా అనంగ్‌పాల్ 1052లో నిర్మించారు.,https://factly.in/telugu-there-is-no-relation-between-red-fort-built-by-shah-jahan-and-lal-kot-built-by-anangpal-tomar/
 ప్రధాని నరేంద్ర మోదీ ఇటీవల నిర్వహించిన టెలి కాన్ఫరెన్సులో ఒక మహిళ తనకు ప్రధానమంత్రి పథకాలేవి అందడం లేదని సమాధానమిచ్చిన దృశ్యాలు.,https://factly.in/telugu-comments-made-by-a-woman-regarding-pradhanmantri-svanidhi-yojana-scheme-is-shared-with-misleading-narrative/
 ఏపీ ప్రభుత్వం ఆక్స్‌ఫర్డ్ నిఘంటువులో ‘గాడ్’^ ‘గాడ్‌పేరెంట్’ యొక్క అర్ధాలకు చేసిన మార్పులను చూపించే వీడియో.,https://factly.in/telug-ap-govt-did-not-change-the-definition-of-god-and-godparent-in-the-oxford-dictionary-provided-as-part-of-jagananna-vidya-kanuka/
 ఉత్తరప్రదేశ్ రాష్ట్రంలో రైతు నిరసనకారులు భారత జాతీయ జెండాను అవమానిస్తున్న దృశ్యాలు.,https://factly.in/telugu-this-video-shows-khalistan-supporters-tearing-off-tricolour-not-indian-farmers/
 పాక్ దిన పత్రిక డాన్ మోదీజీ అమెరికా పర్యటన గురించి ఏమైతే రాసిందో భారత్ ఆన్లైన్ వెబ్ పోర్టల్ ‘ది ప్రింట్’ కూడా సెం టూ సేమ్ దించేసింది.,https://factly.in/telugu-pakistani-news-agency-dawn-republished-the-print-article-on-modis-2019-us-tour-with-their-permission/
 కాంగ్రెస్ నాయకులు 456 కోట్ల కమిషన్ తీసుకున్నారు^ 13వేల కోట్లలో నా భాగం 32% మాత్రమే^ మిగతాదంతా కాంగ్రెస్ నాయకులే తీసుకున్నారు – లండన్ కోర్టులో నీరవ్ మోదీ.,https://factly.in/telugu-nirav-modi-did-not-admit-of-bribing-congress-leaders-in-a-london-court/
 బైబిల్‌ని కాలిఫోర్నియాలో బ్యాన్ చేసారు.,https://factly.in/telugu-there-is-no-evidence-that-the-bible-was-banned-in-california/
 ‘ఐక్యరాజ్య సమితి భద్రతా మండలిలో శాశ్వత సభ్యత్వానికి భారత్‌కు మద్దతు ఇస్తాం’- చైనా.,https://factly.in/telugu-there-is-no-evidence-to-state-that-china-support-indias-permanent-membership-in-the-unsc/
 దేశంలో^ ప్రత్యేకించి కేరళ రాష్ట్రంలో ఒక్క రోజులో జన్మించిన పిల్లలలో ముస్లిం మతానికి చెందినవారే అత్యంత ఎక్కువగా ఉంటున్నారు.,https://factly.in/telugu-these-numbers-about-growing-muslim-population-in-the-country-is-growing-are-inaccurate/
 భారతదేశ చరిత్రలో మొదటిసారి ప్రపంచ బ్యాంకు నుంచి అప్పు తీసుకురాని ప్రధానిగా మోదీ చరిత్ర సృష్టించారు.,https://factly.in/telugu-during-modis-tenure-as-pm-an-amount-of-30000-million-dollars-was-borrowed-from-the-world-bank/
 భారత ప్రధాని నరేంద్ర మోదీ గొప్పతనాన్ని వివరిస్తూ న్యూయార్క్ టైమ్స్ ఎడిటర్ ఇన్ చీఫ్^ జోసెఫ్ హోప్ రాసిన వ్యాసం.,https://factly.in/telugu-this-new-york-times-editor-in-chief-article-praising-narendra-modi-is-completely-fictional/
 ఒక కాంట్రాక్టర్‌కి అఖిలేష్ యాదవ్ ఇచ్చిన 15^200 కోట్ల పూర్వాంచల్ ఎక్స్‌ప్రెస్‌వే కాంట్రాక్టుని^ యోగి ఆదిత్యనాథ్ రివ్యూ చేసి ఇతర  కాంట్రాక్టర్‌కి కేవలం 3^400 కోట్లకే ఇచ్చాడు.,https://factly.in/telugu-yogi-adityanath-has-not-revised-the-cost-of-the-purvanchal-expressway-from-rs-15000-crore-to-rs-3400-crore/
 సింహాచలం దేవస్థానం కొండ పై వరద ఉధృతి దృశ్యాలు.,https://factly.in/telugu-this-video-shows-edupayalu-vana-durga-bhavani-temple-in-medak-submerged-in-flood-waters-not-the-simhachalam-temple/
 క్యాన్సర్ బారిన పడి మరణించిన ఒకప్పటి మిస్ వరల్డ్ నిషా గిమిరే యొక్క ఫోటోలు.,https://factly.in/telugu-the-woman-in-these-photos-is-nisha-ghimire-a-nepali-model-not-a-miss-world-she-died-in-a-road-accident/
 2021 అక్టోబర్ నెలలో దేశంలోని అన్ని ప్రభుత్వ^ ప్రైవేటు బ్యాంకులు 21 రోజులు సెలవలు తీసుకోనున్నాయి.,https://factly.in/telugu-according-to-the-list-of-holidays-released-by-the-rbi-banks-are-not-taking-21-days-off-in-october/
 న్యూయార్క్ టైమ్స్ దినపత్రిక 26 సెప్టెంబర్ 2021న ప్రచురించిన ఎడిషన్‌ మొదటి పేజీలో మోదీని ఉద్దేశిస్తూ “LAST^ BEST HOPE OF EARTH” అని కోట్ చేసిన క్లిప్.,https://factly.in/telugu-the-new-york-times-did-not-refer-modi-as-last-best-hope-of-earth-in-its-daily-newspaper/
 బాల్య వివాహాలు చేసుకోండి కానీ 30 రోజుల్లోగా రిజిస్ట్రేషన్ చేసుకోండి అని అంటున్న చట్టానికి కాంగ్రెస్ ఆమోదం తెలిపింది.,https://factly.in/telugu-the-rajasthan-compulsory-registration-of-marriages-amendment-bill-2021-is-shared-with-misleading-narrative/
 ప్రధాని నరేంద్ర మోదీ ప్రస్తుత అమెరికా పర్యటనకు సంబంధించిన విజువల్స్.,https://factly.in/telugu-visuals-of-howdy-modi-event-in-2019-are-shared-amidst-pm-modi-current-tour-of-america/
 మోదీ బ్రిటన్‌లో 53 దేశాల సమావేశంలో జనరల్ ప్రెసిడెంట్ అయ్యాడు; ప్రపంచంలోని 25 అత్యంత శక్తివంతమైన దేశాల జాబితాలో భారత్ నాల్గవ స్థానంలో ఉంది^ మొదలైన పలు మోదీ సాధించిన విజయాలు.,https://factly.in/telugu-this-information-proclaiming-the-success-of-pm-modi-is-misleading/
 నిర్మల్ బహిరంగ సభలో నిజామాబాద్ ఎంపీ అరవింద్^ బీజేపీ నేత జితేందర్ రెడ్డిలు జాతీయ జెండాకు సెల్యూట్ చేయకుండా నిలిచున్న దృశ్యం.,https://factly.in/telugu-bjp-leaders-dharmapuri-arvind-and-jithender-reddy-had-saluted-the-national-flag-at-the-nirmal-open-house/
 సుప్రీంకోర్టు టీచర్ల కోసం ఒక ప్రత్యేక లోగోను ఆమోదించింది.,https://factly.in/telugu-the-supreme-court-has-not-approved-any-logo-to-be-used-by-teachers-on-their-vehicles/
 180 సంవత్సరాల వయసు గల భారతీయ వ్యక్తి ఫోటో.,https://factly.in/telugu-this-story-of-a-180-year-old-indian-man-who-is-still-alive-is-completely-fictional/
 ఒక అమ్మాయిని తన చేతుల్లో మోస్తున్న రాహుల్ గాంధీ ఫోటో.,https://factly.in/telugu-still-from-fifty-shades-freed-movie-is-falsely-attributed-to-rahul-gandhi/
 అమిత్ షాతో భేటీ అయిన పంజాబ్ మాజీ ముఖ్యమంత్రి అమరీందర్‌ సింగ్ ఫోటో.,https://factly.in/telugu-this-photo-of-amarinder-singh-with-amit-shah-was-captured-when-he-was-the-chief-minister-of-punjab/
 పంజాబ్ ముఖ్యమంత్రిగా ప్రమాణస్వీకారం చేసిన తర్వాత చరణ్‌జిత్‌ సింగ్ చన్నీ హల్లెలూయా అని ప్రభువును స్తుతించిన వీడియో.,https://factly.in/telugu-this-video-shows-charanjit-singh-channi-attending-a-christian-meeting-before-he-became-the-cm-of-punjab/
 జమ్మూ కశ్మీర్లో ఆర్టికల్ 370 హోదా తొలిగించిన తరువాత ఒక కశ్మీరీ పండిట్ గోహత్యను దైర్యంగా అడ్డుకుంటున్న దృశ్యాలు.,https://factly.in/telugu-the-person-objecting-to-cow-slaughter-in-this-video-is-a-muslim-not-a-kashmiri-pandit/
 లేబర్ అండ్ ఎంప్లాయిమెంట్ డిపార్టుమెంట్ ఆధ్వర్యంలోని ఇండియన్ స్కిల్ డెవలప్మెంట్ ఆర్గానైజేషన్ 3842 పోస్టుల నియామకం చేపడుతుంది.,https://factly.in/telugu-the-government-has-nothing-to-do-with-this-isdo-recruitment/
 హాలండ్‌లో రైతులు తమ పొలం లో పండిన నారింజలతో చేసిన వినాయక విగ్రహాన్ని ఉరేగిస్తూ వినాయక చవితి జరుపుకుంటున్న వీడియో.,https://factly.in/telugu-this-ganesha-statue-with-lemons-and-oranges-is-displayed-in-france-in-2018-not-in-holland/
 పంజ్‌షీర్ ప్యాలెస్‌లో ఉన్న కృష్ణుడి^ పాండవుల పెయింటింగ్ ఫోటో.,https://factly.in/telugu-painting-made-by-a-russian-artist-is-shared-as-a-painting-in-panjshir-palace/
 స్వామి విద్యానంద్ విదేహ్ బహిరంగ సభలో జవహర్ లాల్ నెహ్రూని చెంపదెబ్బ కొట్టినప్పుడు తీసిన ఫోటో.,https://factly.in/telugu-swami-vidyanand-videh-did-not-slap-nehru-this-photo-was-taken-in-1962-at-a-public-meeting-in-patna/
